Gen 180 | 0 1 0 1 0 1 0 1 0 1 
Gen 181 | 1 0 1 0 1 0 1 0 1 0 
Gen 182 | 0 1 0 1 0 1 0 1 0 1 
Gen 183 | 1 0 1 0 1 0 1 0 1 0 
Gen 184 | 0 1 0 1 0 1 0 1 0 1 
Gen 185 | 1 0 1 0 1 0 1 0 1 0 
Gen 186 | 0 1 0 1 0 1 0 1 0 1 
Gen 187 | 1 0 1 0 1 0 1 0 1 0 
Gen 188 | 0 1 0 1 0 1 0 1 0 1 
Gen 189 | 1 0 1 0 1 0 1 0 1 0 
Gen 190 | 0 1 0 1 0 1 0 1 0 1 
Gen 191 | 1 0 1 0 1 0 1 0 1 0 
Gen 192 | 0 1 0 1 0 1 0 1 0 1 
Gen 193 | 1 0 1 0 1 0 1 0 1 0 
Gen 194 | 0 1 0 1 0 1 0 1 0 1 
Gen 195 | 1 0 1 0 1 0 1 0 1 0 
Gen 196 | 0 1 0 1 0 1 0 1 0 1 
Gen 197 | 1 0 1 0 1 0 1 0 1 0 
Gen 198 | 0 1 0 1 0 1 0 1 0 1 
Gen 199 | 1 0 1 0 1 0 1 0 1 0 
Gen 200 | 0 1 0 1 0 1 0 1 0 1 
